337.com,467674,463570,424752,441656,398728,455913,432327,445082,474089,439825,1033803,448368,411598,379464,84255,42002,418323,431053,416889,404847,403883,457972,408455,
appspot.com,644471,702581,587099,1915057,543803,764840,717336,1010938,810699,703963,596797,697029,632483,587518,37657,46952,594149,649309,594926,589302,715507,734448,866454,
btjunkie.org,305111210,305141682,305105184,305180143,305123411,305117418,305160628,305109917,305110249,305124233,305075771,305116971,305104197,305156971,44895,30339,305091934,305105077,305085166,305086043,305092939,305079642,305151293,
4399.com,2171040,1910262,21238972,2847247,3558936,1799232,1842365,2667016,1900550,1622957,1757720,5864501,1717988,1802572,4711911,82089,2399220,2488572,1806059,1475581,1910637,3956100,2874892,
tao123.com,7891832,3844352,17844111,3333702,3958418,6708517,3618183,4273377,4905092,4374429,4311952,3649354,3584240,3680579,45222,51694,4058463,3752460,3507812,3505650,3995606,4056138,4624581,
leboncoin.fr,780807,893956,918235,917230,918767,1141823,729660,945375,893441,892339,894179,940685,904819,906639,813577,65001,737602,931759,907930,933996,919664,889685,906636,
elpais.com,4950098,2542918,4710399,2622173,3794405,8567624,2991329,5224403,2436747,2382181,4577279,2845835,3032494,5350760,39276,49141,3898683,5059313,6136336,5224340,3027559,3415492,2477291,
directv.com,877672,771200,955679,852671,793906,927073,833318,902239,801509,918270,806589,848232,865591,880162,44420,46181,761695,792262,840793,700389,972059,800056,676903,
ria.ru,3420421,3373735,3582017,9997783,3445091,9077778,3709736,3502065,9280515,3293052,3543848,3433173,3383128,3760707,41533,50011,3516520,3394951,4561300,3646294,3718787,3848282,3380507,
it168.com,8880743,2727483,4083541,5390668,4348457,4961622,5771660,6386663,4026893,4317032,7781905,6608745,3966827,3837118,53178,63387,6190157,5628602,4480993,4536512,4118805,5435309,4034003,
cafemom.com,349124,365495,340077,360066,370122,356211,358229,331881,365161,337939,424984,357541,302401,365956,69069,50947,323544,350061,359171,336362,343260,347662,362536,
pronto.com,484922,438308,457412,447962,445412,480541,470902,450175,453201,464924,485880,437324,562857,471828,40542,55133,445188,442117,482592,464761,596379,469997,459997,
ilivid.com,2284182,2221730,2240661,2234912,2226232,2200356,2758591,2846279,2598769,2240457,2717117,2329059,2235259,2652985,2191421,70160,6036361,2240350,2307290,2196366,2282905,2209744,2256714,
cnet.com,509298,621524,675655,608286,568254,666436,560273,670220,642703,659727,1845686,584493,659321,574788,560213,43491,652182,575383,616812,568468,602589,686068,578055,
pclady.com.cn,4005008,26029002,5416762,4474957,5481480,4375416,4447173,4078537,4396970,5678223,4560697,4794906,4294183,5400907,45590,35513,4447892,4431282,4218048,9048584,4286437,4880909,4825504,
orkut.com,747301,693066,718999,736938,650804,795891,756442,794744,758763,606140,637867,1025630,745900,607671,726712,39269,718959,640517,724457,651879,1262878,690144,665837,
3suisses.fr,1950031,1790092,1977365,1565265,1893256,1685904,1796309,1748334,1921003,1419064,1772066,1905536,1740669,1702842,44222,46137,1865511,2251920,1702253,2061262,1630216,1927628,2234415,
expedia.com,910632,896841,889641,1208032,1113202,1205262,1223860,939071,891896,909578,975729,979532,1071521,928102,1049088,47696,921258,1023808,1508281,1236875,942821,1021458,1028954,
thesun.co.uk,1043335,795864,829738,956003,599674,1005436,682593,836238,666899,666709,1892579,856135,905166,1420160,53300,44191,1520961,754552,2980592,2758004,895885,756340,910364,
softpedia.com,658529,631992,656285,627700,639831,616683,690367,650464,690602,670011,678068,642691,666862,646448,606506,45579,640564,674578,657755,674217,684186,672066,667973,
twitpic.com,601933,637801,635133,808398,623811,631361,633564,708632,622590,3720186,683111,624096,634101,633005,616931,59420,851838,636232,625662,608854,662974,662329,656244,
travelzoo.com,1360807,875248,4610117,2224184,1024825,1209428,1507335,1086353,945078,1205564,1102017,975953,790432,2150700,60184,40361,883723,980197,996582,1079053,2957703,2926882,1268667,
ournba.net,1294459,621828,693833,607200,748542,717868,581852,569524,601193,758828,575417,756529,559387,578234,41274,69288,552848,637947,556431,603260,538337,590644,608681,
intelius.com,778654,1023873,1081819,954434,971296,923358,1271545,853473,1133970,1055792,889916,1040023,1078415,1237359,64333,57025,1166088,930686,921580,1066691,866750,1086661,952029,
peeplo.com,1145193,922344,1059079,1074361,1238147,921913,1019660,1157476,1168706,934568,829274,1140636,1175218,958182,1190384,56305,4036629,945140,859062,1089558,1097477,1033238,1064361,
sohu.com,11831081,3721368,9464572,3954302,5855775,4525030,3999473,23678433,7313939,34803240,11101036,52979643,6947681,45689541,3251429,50991,10717089,41540229,10858406,14223996,42451814,8138625,12061103,
hsbccreditcard.com,379032,857565,364619,864957,888568,868468,384304,956542,879862,357484,1985767,1028850,1720005,1728958,43704,41990,405592,883082,841576,2584922,356627,1715324,826894,
mapion.co.jp,1688982,1551177,1746463,1268331,1442902,1537715,2258997,1595429,1659162,1845534,1433718,2650751,1417636,1468802,44802,48022,1440283,1444828,1469996,1758834,2301526,1339926,1372008,
comcast.com,7328327,1220011,1311005,530975,1431200,1276721,2461950,1541455,1221355,1271388,10461937,1468124,1247958,614101,10337138,57061,1390134,1400649,1324133,1236286,1287117,1421156,1388465,
cncn.com,2407084,2607523,2454394,2404712,2518220,2388938,2570177,2203353,2424567,4142742,2456795,2580033,2535124,2465768,36066,33542,2394182,2419044,2406585,2432585,2701060,3315197,2418518,
goalunited.org,2849151,2640354,3713798,2160400,2409259,2178644,2797884,3462125,3297613,2440609,2599863,3103932,4165354,4640859,57272,47370,2390514,2477516,2325662,2381386,2306392,2684531,5139481,
